"Location","Latitude","Longitude"
"Ottawa, Ontario",45.4208777,-75.6901106
"Elora, Ontario",43.681148,-80.429581
"Winchester, Ontario",45.0928774,-75.35299
"Brussels, Ontario",43.7433558,-81.2506263
"Woodstock, Ontario",43.1301111,-80.7562977
"St. Pauls, Ontario",43.3208052,-81.0516163
"Dutton, Ontario",42.6640129,-81.5026543
"Inwood, Ontario",42.8180452,-81.9824943
"Talbotville, Ontario",42.8031625,-81.2531447
"Malden, Ontario",42.2624517,-83.0635175
"Woodslee, Ontario",42.21478,-82.7206993
"Tilbury, Ontario",42.2593155,-82.4322682
"Chatham, Ontario",42.4057219,-82.1853837
"Exeter, Ontario",43.3449871,-81.4801081
"Ridgetown, Ontario",42.4392352,-81.8870513
"Renfrew, Ontario",45.7300564,-77.2793698
"Merlin, Ontario",42.2408775,-82.2314
"Dundalk, Ontario",44.1691536,-80.3965759
"Centralia, Ontario",43.2838991,-81.4721377
"Tupperville, Ontario",42.590143,-82.2695626
"Palmyra, Ontario",42.4417769,-81.7668795
"Harrow, Ontario",42.035586,-82.9183594
"Eganville, Ontario",45.5406943,-77.1004317
"Listowel, Ontario",43.731593,-80.952882
"Arthur, Ontario",43.8309446,-80.5355526
"New Liskeard, Ontario",47.508731,-79.6789029
"Walton, Ontario",43.6774951,-81.3013486
"St. Marys, Ontario",43.2570855,-81.1408629
"Port Hope, Ontario",43.9515755,-78.2939704
